Date,Mkt-RF,SMB,HML,RF
2018-12-06,-0.0016,0.0013,-0.0105,0.00010999999999999999
2018-12-07,-0.0236,0.0021,0.013300000000000001,0.00010999999999999999
2018-12-10,0.001,-0.0011,-0.016200000000000003,0.00010999999999999999
2018-12-11,-0.0008,-0.0005,-0.0042,0.00010999999999999999
2018-12-12,0.0068000000000000005,0.0058,-0.0018,0.00010999999999999999
2018-12-13,-0.0026,-0.0151,-0.0019,0.00010999999999999999
2018-12-14,-0.0189,-0.0007000000000000001,0.005,0.00010999999999999999
2018-12-17,-0.0213,-0.0026,0.0108,0.00010999999999999999
2018-12-18,-0.0003,0.0002,-0.0060999999999999995,0.00010999999999999999
2018-12-19,-0.0158,-0.0062,0.0003,0.00010999999999999999
2018-12-20,-0.016200000000000003,-0.0029,0.0097,0.00010999999999999999
2018-12-21,-0.0217,-0.0055000000000000005,0.0076,0.00010999999999999999
2018-12-24,-0.0255,0.01,-0.0049,0.00010999999999999999
2018-12-26,0.0506,-0.0005,-0.0101,0.00010999999999999999
2018-12-27,0.0078000000000000005,-0.0067,-0.0013,0.00010999999999999999
2018-12-28,-0.0003,0.0077,0.0026,0.00010999999999999999
2018-12-31,0.009000000000000001,-0.001,-0.0045000000000000005,0.00010999999999999999
2019-01-02,0.0023,0.0059,0.011200000000000002,0.0001
2019-01-03,-0.0245,0.0036,0.011899999999999999,0.0001
2019-01-04,0.0355,0.0040999999999999995,-0.006999999999999999,0.0001
2019-01-07,0.009399999999999999,0.01,-0.0075,0.0001
2019-01-08,0.0101,0.0052,-0.0063,0.0001
2019-01-09,0.005600000000000001,0.0046,0.001,0.0001
2019-01-10,0.0042,0.0003,-0.0046,0.0001
2019-01-11,-0.0001,0.0012,0.0022,0.0001
2019-01-14,-0.006,-0.0059,0.009399999999999999,0.0001
2019-01-15,0.0106,0.0,-0.0088,0.0001
2019-01-16,0.0028000000000000004,0.0004,0.0092,0.0001
2019-01-17,0.0075,0.0011,-0.0024,0.0001
2019-01-18,0.0129,-0.0036,0.0012,0.0001
2019-01-22,-0.015300000000000001,-0.004,0.0033,0.0001
2019-01-23,0.0015,-0.0039000000000000003,-0.0014000000000000002,0.0001
2019-01-24,0.0023,0.0044,0.0,0.0001
2019-01-25,0.009000000000000001,0.0046,-0.0034999999999999996,0.0001
2019-01-28,-0.008,-0.0016,0.0063,0.0001
2019-01-29,-0.0019,-0.0001,0.0017000000000000001,0.0001
2019-01-30,0.0151,-0.0015,-0.009399999999999999,0.0001
2019-01-31,0.0092,0.0012,-0.0108,0.0001
2019-02-01,0.0014000000000000002,-0.0014000000000000002,0.0043,0.0001
2019-02-04,0.0072,0.0049,-0.0046,0.0001
2019-02-05,0.0043,-0.0008,-0.006,0.0001
2019-02-06,-0.0022,-0.0002,0.0007000000000000001,0.0001
2019-02-07,-0.009300000000000001,-0.0014000000000000002,0.004,0.0001
2019-02-08,0.0009,0.0005,-0.0068000000000000005,0.0001
2019-02-11,0.0014000000000000002,0.0066,0.0022,0.0001
2019-02-12,0.013600000000000001,0.0002,-0.0017000000000000001,0.0001
2019-02-13,0.0028000000000000004,0.0007000000000000001,0.0007000000000000001,0.0001
2019-02-14,-0.0021,0.0052,-0.0058,0.0001
2019-02-15,0.0113,0.0025,0.004699999999999999,0.0001
2019-02-19,0.0019,0.003,0.003,0.0001
2019-02-20,0.0019,0.0021,0.0055000000000000005,0.0001
2019-02-21,-0.0037,-0.0007000000000000001,-0.0022,0.0001
2019-02-22,0.006500000000000001,0.0055000000000000005,-0.0147,0.0001
2019-02-25,0.0015,-0.0026,-0.0018,0.0001
2019-02-26,-0.0016,-0.0063,-0.0033,0.0001
2019-02-27,0.0009,0.0019,-0.0012,0.0001
2019-02-28,-0.0031,0.0001,-0.0024,0.0001
2019-03-01,0.0072,0.0029,-0.0040999999999999995,8.999999999999999e-05
2019-03-04,-0.0052,-0.004,0.0038,8.999999999999999e-05
2019-03-05,-0.0017000000000000001,-0.0031,-0.0023,8.999999999999999e-05
2019-03-06,-0.0084,-0.0127,0.0005,8.999999999999999e-05
2019-03-07,-0.008199999999999999,-0.0007000000000000001,-0.0033,8.999999999999999e-05
2019-03-08,-0.0022,0.0005,-0.0015,8.999999999999999e-05
2019-03-11,0.0149,0.0036,-0.0052,8.999999999999999e-05
2019-03-12,0.0025,-0.0027,-0.0008,8.999999999999999e-05
2019-03-13,0.0068000000000000005,-0.0031,0.0007000000000000001,8.999999999999999e-05
2019-03-14,-0.001,-0.004,0.003,8.999999999999999e-05
2019-03-15,0.0048,-0.0025,-0.0024,8.999999999999999e-05
2019-03-18,0.0046,0.0016,0.0044,8.999999999999999e-05
2019-03-19,-0.0009,-0.0038,-0.0091,8.999999999999999e-05
2019-03-20,-0.0039000000000000003,0.0002,-0.0104,8.999999999999999e-05
2019-03-21,0.0111,0.003,-0.0123,8.999999999999999e-05
2019-03-22,-0.0217,-0.0152,-0.0006,8.999999999999999e-05
2019-03-25,-0.0005,0.0066,-0.0027,8.999999999999999e-05
2019-03-26,0.0076,0.0017000000000000001,0.0046,8.999999999999999e-05
2019-03-27,-0.005,0.001,0.0049,8.999999999999999e-05
2019-03-28,0.004,0.0034000000000000002,0.0002,8.999999999999999e-05
2019-03-29,0.0066,-0.0022,-0.0092,8.999999999999999e-05
2019-04-01,0.011899999999999999,-0.003,0.009899999999999999,0.0001
2019-04-02,-0.0005,-0.0013,-0.0044,0.0001
2019-04-03,0.0027,0.0022,-0.0039000000000000003,0.0001
2019-04-04,0.0019,0.0021,0.0092,0.0001
